Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
1,1,17.821946,21.444187,1.546003
1,2,17.595891,21.829019,1.05708
1,3,17.927953,21.058199,1.184459
1,4,18.804841,20.742861,1.747573
1,5,17.617531,21.328723,1.556579
1,6,18.874187,20.100565,1.392588
1,7,17.502058,20.235543,1.33881
1,8,17.275794,21.029762,1.21517
1,9,17.162415,20.848916,1.101776
1,10,17.627137,19.909818,0.875906
1,11,17.897542,19.589248,1.116631
1,12,17.682262,20.006876,1.187652
1,13,19.165165,19.22473,1.250356
1,14,18.658795,19.195049,1.378687
1,15,18.691325,19.457199,1.026014
1,16,18.193965,20.798844,0.845448
1,17,18.306322,20.529194,0.977715
1,18,19.551639,20.375848,1.059609
1,19,,,
1,20,18.381328,20.550935,1.29059
1,21,18.89929,20.754581,0.821417
1,22,18.717066,21.281502,1.428528
1,23,19.134899,20.767474,0.832545
1,24,18.797924,21.377649,1.040859
1,25,19.563642,19.602607,1.390018
1,26,19.29502,21.091529,1.426552
1,27,19.377062,21.153442,1.152385
1,28,18.927657,18.407925,1.172294
1,29,17.345118,20.959704,2.3232
1,30,18.852634,21.747123,0.757805
1,31,18.523105,18.497444,1.463887
1,32,19.094267,18.57811,0.971148
1,33,19.645476,21.221007,1.570135
1,34,18.734601,21.397304,1.79203
1,35,19.597649,18.551686,1.579218
1,36,19.512202,22.109018,1.188695
1,37,19.612114,21.747613,0.814095
1,38,19.635375,22.204214,1.166853
1,39,19.824102,21.507258,0.824846
1,40,19.785258,20.19822,1.802954
2,1,25.685799,33.196282,1.5126
2,2,26.086906,33.117938,2.220007
2,3,26.030485,33.586095,1.892742
2,4,26.02816,32.587595,2.22674
2,5,25.030375,32.990475,2.222502
2,6,26.283662,32.265162,1.603701
2,7,26.997647,32.236816,1.342764
2,8,27.001719,32.891293,1.742573
2,9,23.837407,34.593171,2.906862
2,10,26.57589,34.180681,1.563331
2,11,27.256303,32.864645,1.66859
2,12,25.571467,32.805264,0.736111
2,13,,,
2,14,24.705255,33.405687,2.528048
2,15,25.557705,32.47627,2.605385
2,16,26.056022,33.597561,2.414074
2,17,26.443085,33.526778,2.435668
2,18,25.856173,32.955781,2.596081
2,19,24.777797,34.548653,2.814374
2,20,25.069805,34.435457,2.548521
